Territoire;Total;Total_Femmes;Total_Hommes;Femmes_moins20;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_moins20;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;84111;78022;6089;498;10603;11380;10342;8477;8435;9272;8850;6015;3208;942;29;1280;1148;925;646;597;503;403;315;182;61
Région Flandre;48920;45745;3175;439;7683;6682;5607;4424;4546;5295;5292;3534;1811;432;27;930;605;400;246;250;233;204;175;85;20
Région Wallonie;29407;27193;2214;50;2437;3880;3977;3406;3283;3380;3066;2124;1187;403;2;288;440;400;294;255;194;129;104;80;28
Région Région de Bruxelles-capitale;5784;5084;700;9;483;818;758;647;606;597;492;357;210;107;0;62;103;125;106;92;76;70;36;17;13
Prov Brabant flamand;7307;6772;535;41;909;831;777;664;798;919;859;580;294;100;2;120;83;61;59;50;45;50;46;12;7
Prov Flandre occidentale;10365;9750;615;148;2082;1453;1129;908;885;995;1009;688;363;90;9;268;118;73;27;34;46;20;15;4;1
Prov Flandre orientale;12089;11354;735;98;1737;1687;1397;1125;1139;1361;1343;904;467;96;7;182;141;111;57;68;61;47;42;15;4
Prov Anvers;13040;12160;880;114;1949;1861;1578;1186;1154;1327;1426;991;465;109;6;216;189;113;71;69;67;63;49;32;5
Prov Limbourg;6119;5709;410;38;1006;850;726;541;570;693;655;371;222;37;3;144;74;42;32;29;14;24;23;22;3
Prov Brabant wallon;1907;1760;147;5;141;196;208;233;208;225;216;184;97;47;0;24;21;26;13;22;16;10;9;4;2
Prov Hainaut;12361;11403;958;18;1012;1565;1664;1471;1369;1394;1314;932;516;148;2;108;195;177;149;112;92;46;35;33;9
Prov Liège;9324;8619;705;18;748;1364;1355;1053;1039;1081;928;570;335;128;0;82;153;134;82;75;53;46;41;30;9
Prov Namur;3970;3665;305;5;348;530;513;442;462;426;407;313;161;58;0;49;53;52;38;35;27;23;12;10;6
Prov Luxembourg;1845;1746;99;4;188;225;237;207;205;254;201;125;78;22;0;25;18;11;12;11;6;4;7;3;2
Prov Région de Bruxelles-capitale;5784;5084;700;9;483;818;758;647;606;597;492;357;210;107;0;62;103;125;106;92;76;70;36;17;13
