Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_min20;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_min20;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;91857;84916;6941;497;11525;12807;11196;9362;8878;9574;9342;6652;3734;1349;40;1430;1407;993;794;610;590;448;330;203;96
Gewest Vlaanderen;53782;50107;3675;428;8338;7734;6124;4886;4825;5402;5646;3966;2089;669;35;1038;762;436;313;277;261;233;190;92;38
Gewest Wallonië;31799;29302;2497;61;2645;4166;4278;3763;3431;3520;3167;2323;1399;549;4;327;518;429;361;249;233;142;103;87;44
Gewest Brussels hoofdstedelijk gewest;6276;5507;769;8;542;907;794;713;622;652;529;363;246;131;1;65;127;128;120;84;96;73;37;24;14
Prov Vlaams Brabant;7893;7286;607;46;961;935;824;730;816;942;895;659;339;139;3;133;104;73;61;56;55;48;46;19;9
Prov West-Vlaanderen;11493;10778;715;171;2275;1739;1223;1004;987;981;1051;783;431;133;15;276;160;87;44;35;45;29;17;4;3
Prov Oost-Vlaanderen;13220;12375;845;87;1916;1893;1560;1194;1217;1366;1452;1002;534;154;5;208;172;104;77;74;73;58;52;14;8
Prov Antwerpen;14267;13252;1015;89;2056;2118;1726;1335;1217;1371;1545;1080;543;172;10;249;227;125;85;82;67;77;48;34;11
Prov Limburg;6909;6416;493;35;1130;1049;791;623;588;742;703;442;242;71;2;172;99;47;46;30;21;21;27;21;7
Prov Waals Brabant;2064;1896;168;5;177;207;223;259;218;242;201;193;116;55;1;30;24;26;17;17;24;13;7;6;3
Prov Henegouwen;13281;12209;1072;28;1053;1679;1752;1608;1443;1445;1352;1024;615;210;0;141;210;194;172;113;104;54;34;35;15
Prov Luik;10189;9388;801;21;838;1472;1480;1173;1103;1133;969;649;377;173;3;83;188;141;112;75;63;47;40;34;15
Prov Namen;4316;3970;346;7;390;563;567;497;471;444;431;319;205;76;0;50;74;54;46;33;34;24;13;10;8
Prov Luxemburg;1949;1839;110;0;187;245;256;226;196;256;214;138;86;35;0;23;22;14;14;11;8;4;9;2;3
Prov Brussels hoofdstedelijk gewest;6276;5507;769;8;542;907;794;713;622;652;529;363;246;131;1;65;127;128;120;84;96;73;37;24;14
