Gebied;Totaal;Geslacht;Unnamed: 3;Vrouw;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Man;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18
;;Vrouw;Man;-25;25-29;30-34;35-39;40-44;45-49;50-54;-25;25-29;30-34;35-39;40-44;45-49;50-54;55-59
België;2130.0;1403;727;222;1059;89;21;6;1;5;102;553;53;8;7;2;1;1
Vlaams Gewest;977.0;642;335;137;465;25;8;3;0;4;64;247;18;3;3;0;0;0
Waals Gewest;816.0;526;290;65;415;38;6;0;1;1;34;225;25;3;1;1;0;1
Brussels Hoofdstedelijk Gewest;337.0;235;102;20;179;26;7;3;0;0;4;81;10;2;3;1;1;0
Vlaams Brabant;213.0;131;82;15;107;4;0;3;0;2;12;65;3;0;2;0;0;0
West-Vlaanderen;150.0;101;49;33;65;1;1;0;0;1;9;37;3;0;0;0;0;0
Oost-Vlaanderen;265.0;174;91;41;123;8;2;0;0;0;20;63;5;2;1;0;0;0
Antwerpen;262.0;180;82;31;134;10;4;0;0;1;14;62;5;1;0;0;0;0
Limburg;87.0;56;31;17;36;2;1;0;0;0;9;20;2;0;0;0;0;0
Waals Brabant;105.0;77;28;10;57;8;1;0;1;0;3;24;1;0;0;0;0;0
Henegouwen;253.0;171;82;25;134;10;2;0;0;0;10;67;4;0;1;0;0;0
Luik;294.0;166;128;14;136;14;2;0;0;0;15;93;16;2;0;1;0;1
Namen;104.0;73;31;10;59;3;1;0;0;0;4;23;4;0;0;0;0;0
Luxemburg;60.0;39;21;6;29;3;0;0;0;1;2;18;0;1;0;0;0;0
Brussels Hoofdstedelijk Gewest;337.0;235;102;20;179;26;7;3;0;0;4;81;10;2;3;1;1;0
